SimNo,ExtThrs,FlexThrs,Prop0,Prop1,Prop2,Prop3,Prop4,Prop5,Prop6,Prop7,Prop8,Prop9,Prop10,Prop11,Prop12,Prop13,Prop14,Prop15,Prop16,Prop17,Prop18,Prop19,Prop20,Prop21,Prop22,Prop23,Prop24,Prop25,Prop26,Prop27,Prop28,Prop29,Prop30,Prop31,Prop32,Prop33,Prop34,Prop35,Prop36,Prop37,Prop38,Prop39,Prop40,Prop41,Prop42,Prop43,Prop44,Prop45,Prop46,Prop47
225,0.5,0.25,1,0.9946809,0.9734043,0.9574468,0.9148936,0.9042553,0.8989362,0.893617,0.8882979,0.8723404,0.8404255,0.8138298,0.7712766,0.7659574,0.7553191,0.7393617,0.6914894,0.6808511,0.6755319,0.6648936,0.6595745,0.5957447,0.5851064,0.5585106,0.5425532,0.5319149,0.5212766,0.4840426,0.4574468,0.4468085,0.3989362,0.3776596,0.3670213,0.3351064,0.3244681,0.3138298,0.2606383,0.2553191,0.2446809,0.212766,0.1914894,0.1755319,0.1595745,0.1489362,0.1382979,0.06382979,0.01595745,0
226,0.5,0.25,1,0.9946809,0.9840426,0.9734043,0.962766,0.9521277,0.9468085,0.9414894,0.9361702,0.9308511,0.9202128,0.8989362,0.8829787,0.8776596,0.8670213,0.8297872,0.8138298,0.7712766,0.7074468,0.6648936,0.6542553,0.643617,0.6010638,0.5957447,0.5585106,0.5531915,0.5425532,0.5319149,0.5053191,0.4893617,0.4840426,0.462766,0.4042553,0.3989362,0.3829787,0.3457447,0.3351064,0.3297872,0.25,0.2234043,0.2074468,0.1702128,0.1595745,0.1489362,0.1117021,0.05851064,0.04787234,0
227,0.5,0.25,1,0.962766,0.9521277,0.9468085,0.9414894,0.9308511,0.9255319,0.8829787,0.8776596,0.8457447,0.8351064,0.8297872,0.8191489,0.7553191,0.7446809,0.7287234,0.7074468,0.7021277,0.6755319,0.6595745,0.6382979,0.6276596,0.606383,0.5957447,0.5159574,0.5106383,0.4574468,0.4468085,0.4361702,0.4042553,0.3882979,0.3776596,0.3723404,0.3191489,0.3085106,0.2978723,0.2553191,0.2446809,0.2021277,0.1808511,0.1276596,0.1170213,0.106383,0.09574468,0.06382979,0.02659574,0.01595745,0
228,0.5,0.25,1,0.9946809,0.9468085,0.9361702,0.9308511,0.8989362,0.893617,0.8723404,0.8510638,0.8351064,0.8297872,0.8085106,0.7446809,0.7074468,0.7021277,0.6914894,0.6808511,0.6648936,0.6382979,0.6276596,0.6170213,0.606383,0.5904255,0.537234,0.5265957,0.5212766,0.5053191,0.462766,0.4468085,0.4308511,0.3989362,0.3829787,0.3776596,0.3723404,0.3670213,0.356383,0.3031915,0.2925532,0.2819149,0.2606383,0.2074468,0.1861702,0.1755319,0.1329787,0.09042553,0.04787234,0.01595745,0
229,0.5,0.25,1,0.9893617,0.9840426,0.9734043,0.9574468,0.9468085,0.9202128,0.9095745,0.8989362,0.8776596,0.8351064,0.8031915,0.7978723,0.787234,0.7659574,0.7553191,0.75,0.7180851,0.712766,0.6968085,0.6914894,0.6648936,0.6595745,0.6117021,0.6010638,0.5904255,0.5797872,0.5744681,0.5638298,0.5531915,0.5319149,0.5212766,0.5053191,0.4414894,0.4255319,0.4148936,0.3882979,0.3617021,0.3191489,0.2765957,0.2712766,0.2553191,0.2234043,0.1808511,0.1702128,0.1010638,0.09042553,0
230,0.5,0.25,1,0.9787234,0.9734043,0.9574468,0.9468085,0.9414894,0.9308511,0.9095745,0.8776596,0.8510638,0.8457447,0.8351064,0.7712766,0.7553191,0.7393617,0.7287234,0.7234043,0.7074468,0.6648936,0.6595745,0.6542553,0.6329787,0.6170213,0.5691489,0.5585106,0.5478723,0.5053191,0.4521277,0.4255319,0.4042553,0.3882979,0.3776596,0.3031915,0.2925532,0.2765957,0.2659574,0.2234043,0.1968085,0.1808511,0.1382979,0.1223404,0.1117021,0.1010638,0.09042553,0.08510638,0.07446809,0.0212766,0
231,0.5,0.25,1,0.9734043,0.9680851,0.962766,0.9148936,0.9042553,0.8989362,0.8882979,0.8776596,0.8404255,0.8138298,0.8031915,0.7978723,0.787234,0.7819149,0.75,0.7287234,0.7180851,0.6914894,0.6808511,0.6595745,0.6542553,0.6329787,0.6117021,0.6010638,0.5585106,0.5106383,0.5053191,0.4946809,0.4734043,0.4414894,0.4308511,0.4148936,0.4042553,0.356383,0.3457447,0.3297872,0.3085106,0.2712766,0.2553191,0.2446809,0.2021277,0.1914894,0.1755319,0.1223404,0.106383,0.0212766,0
232,0.5,0.25,1,0.9946809,0.9840426,0.9734043,0.9680851,0.962766,0.9574468,0.9468085,0.9414894,0.9255319,0.9148936,0.8829787,0.8776596,0.8670213,0.8617021,0.856383,0.8404255,0.8297872,0.8085106,0.7765957,0.7659574,0.7606383,0.7393617,0.7287234,0.7180851,0.6861702,0.6276596,0.6223404,0.6117021,0.5265957,0.4946809,0.4574468,0.4148936,0.3776596,0.3670213,0.3191489,0.2925532,0.2819149,0.2393617,0.2180851,0.1861702,0.1702128,0.1542553,0.106383,0.05319149,0.03191489,0.0106383,0
233,0.5,0.25,1,0.9840426,0.9787234,0.9680851,0.9308511,0.9202128,0.9095745,0.8670213,0.8617021,0.8191489,0.8138298,0.7925532,0.7819149,0.7659574,0.7553191,0.7446809,0.7340426,0.7287234,0.7180851,0.7074468,0.7021277,0.6489362,0.643617,0.6010638,0.5585106,0.5159574,0.5053191,0.4787234,0.4414894,0.4202128,0.4148936,0.3989362,0.3882979,0.3776596,0.3670213,0.3457447,0.3351064,0.3031915,0.2819149,0.1808511,0.1542553,0.143617,0.106383,0.06382979,0.03723404,0.02659574,0.01595745,0
234,0.5,0.25,1,0.9734043,0.962766,0.9574468,0.9521277,0.9361702,0.9255319,0.9095745,0.856383,0.8457447,0.8404255,0.8297872,0.8138298,0.7925532,0.7393617,0.7234043,0.6542553,0.643617,0.606383,0.6010638,0.5904255,0.5851064,0.5425532,0.5265957,0.5159574,0.4946809,0.4840426,0.4680851,0.4574468,0.4148936,0.4042553,0.393617,0.3723404,0.356383,0.3191489,0.3085106,0.2978723,0.2659574,0.2553191,0.25,0.2393617,0.2180851,0.2074468,0.1489362,0.143617,0.1010638,0.05851064,0
235,0.5,0.25,1,0.9946809,0.9574468,0.9521277,0.9414894,0.9308511,0.9202128,0.9095745,0.9042553,0.8882979,0.8617021,0.8510638,0.8404255,0.8297872,0.8191489,0.8138298,0.787234,0.7765957,0.7606383,0.7340426,0.7287234,0.6808511,0.6382979,0.5957447,0.5851064,0.5691489,0.5478723,0.537234,0.5159574,0.5106383,0.4734043,0.4521277,0.4468085,0.4042553,0.3617021,0.3510638,0.3244681,0.3085106,0.2978723,0.2553191,0.2393617,0.2340426,0.1170213,0.09574468,0.08510638,0.07446809,0.05319149,0
236,0.5,0.25,1,0.9893617,0.9734043,0.9574468,0.9042553,0.8989362,0.8882979,0.8670213,0.856383,0.8404255,0.8297872,0.8191489,0.8138298,0.8031915,0.7978723,0.7765957,0.7393617,0.7180851,0.7074468,0.6968085,0.6755319,0.6702128,0.6489362,0.6382979,0.5797872,0.5531915,0.5478723,0.5159574,0.5106383,0.4946809,0.3882979,0.3670213,0.3617021,0.3510638,0.287234,0.2819149,0.2340426,0.2021277,0.1808511,0.1648936,0.1542553,0.1117021,0.106383,0.09042553,0.07978723,0.03723404,0.02659574,0
237,0.5,0.25,1,0.9946809,0.962766,0.9521277,0.9468085,0.9361702,0.9255319,0.8829787,0.8776596,0.8404255,0.8351064,0.8191489,0.8138298,0.7978723,0.787234,0.7765957,0.7659574,0.7606383,0.75,0.7446809,0.712766,0.7021277,0.6968085,0.6808511,0.6702128,0.6276596,0.6170213,0.5585106,0.5478723,0.5,0.4787234,0.4468085,0.4361702,0.4255319,0.4095745,0.3723404,0.3617021,0.3404255,0.3191489,0.2659574,0.2606383,0.2180851,0.1276596,0.1117021,0.1010638,0.06914894,0.03723404,0
238,0.5,0.25,1,0.9946809,0.9893617,0.9734043,0.962766,0.9574468,0.9468085,0.9414894,0.9361702,0.9255319,0.8882979,0.8670213,0.8617021,0.8404255,0.8297872,0.8031915,0.7925532,0.787234,0.7765957,0.7659574,0.7553191,0.6861702,0.6648936,0.6542553,0.6276596,0.6010638,0.5744681,0.5265957,0.5159574,0.5106383,0.5,0.4893617,0.4840426,0.4414894,0.4361702,0.3829787,0.3670213,0.3191489,0.2765957,0.2234043,0.2180851,0.1648936,0.07446809,0.06382979,0.05319149,0.03191489,0.01595745,0
239,0.5,0.25,1,0.9574468,0.9468085,0.9255319,0.8776596,0.8670213,0.8617021,0.8510638,0.8404255,0.8351064,0.8297872,0.8085106,0.7925532,0.7819149,0.7712766,0.7553191,0.7340426,0.7287234,0.6861702,0.6755319,0.6542553,0.6489362,0.6382979,0.6223404,0.6117021,0.6010638,0.5691489,0.5585106,0.5159574,0.5053191,0.5,0.4734043,0.4414894,0.3882979,0.3457447,0.3244681,0.3138298,0.3031915,0.1968085,0.1861702,0.1648936,0.1489362,0.09574468,0.08510638,0.06382979,0.05319149,0.0106383,0
240,0.5,0.25,1,0.9787234,0.9680851,0.962766,0.9521277,0.9468085,0.9361702,0.9255319,0.8882979,0.8776596,0.8723404,0.8617021,0.856383,0.8457447,0.8351064,0.8297872,0.8191489,0.8031915,0.7925532,0.787234,0.7553191,0.7446809,0.7393617,0.7234043,0.7074468,0.6968085,0.6861702,0.643617,0.6117021,0.5638298,0.537234,0.5319149,0.5212766,0.4680851,0.4574468,0.4202128,0.3989362,0.3510638,0.2659574,0.2074468,0.1968085,0.1808511,0.1595745,0.1489362,0.09574468,0.05851064,0.04787234,0
241,0.5,0.25,1,0.9946809,0.9893617,0.9787234,0.9680851,0.962766,0.9521277,0.9414894,0.8989362,0.8882979,0.8776596,0.8297872,0.8244681,0.8138298,0.8031915,0.7819149,0.7712766,0.7659574,0.712766,0.6489362,0.643617,0.6382979,0.606383,0.5957447,0.5851064,0.5425532,0.537234,0.5265957,0.5,0.4893617,0.4468085,0.4042553,0.393617,0.3351064,0.3297872,0.3031915,0.2712766,0.2393617,0.1861702,0.1755319,0.1542553,0.1382979,0.1010638,0.06382979,0.04787234,0.02659574,0.01595745,0
242,0.5,0.25,1,0.9946809,0.9787234,0.9361702,0.9255319,0.9148936,0.9095745,0.8989362,0.8882979,0.8829787,0.8723404,0.8404255,0.8351064,0.8297872,0.8191489,0.7925532,0.7712766,0.7659574,0.7553191,0.7340426,0.7234043,0.6648936,0.6542553,0.6489362,0.6382979,0.6010638,0.5851064,0.5638298,0.5265957,0.462766,0.4574468,0.4521277,0.4414894,0.4202128,0.3882979,0.3617021,0.3191489,0.2659574,0.1648936,0.1542553,0.1170213,0.1010638,0.09042553,0.06382979,0.05319149,0.04255319,0.0212766,0
243,0.5,0.25,1,0.9893617,0.962766,0.9468085,0.9414894,0.9148936,0.8670213,0.8617021,0.856383,0.8457447,0.8351064,0.8138298,0.8031915,0.7765957,0.7712766,0.7606383,0.75,0.7446809,0.7234043,0.712766,0.7021277,0.6861702,0.6755319,0.6329787,0.6223404,0.5904255,0.5797872,0.5691489,0.5531915,0.5159574,0.5053191,0.4734043,0.4468085,0.4202128,0.4095745,0.3989362,0.3776596,0.3670213,0.356383,0.3510638,0.3191489,0.2606383,0.2021277,0.106383,0.06914894,0.05851064,0.03723404,0
244,0.5,0.25,1,0.9893617,0.9787234,0.962766,0.9468085,0.9361702,0.9255319,0.9202128,0.9095745,0.9042553,0.8776596,0.8670213,0.8351064,0.7925532,0.7765957,0.7712766,0.7606383,0.7393617,0.7180851,0.7074468,0.7021277,0.6914894,0.6595745,0.6170213,0.606383,0.5957447,0.5904255,0.5691489,0.5053191,0.4946809,0.3989362,0.3882979,0.3776596,0.3670213,0.3457447,0.3031915,0.2925532,0.2765957,0.2234043,0.1808511,0.1382979,0.1223404,0.1117021,0.07446809,0.05851064,0.04255319,0.005319149,0
245,0.5,0.25,1,0.9946809,0.9840426,0.9734043,0.9414894,0.9361702,0.9255319,0.9148936,0.8989362,0.8882979,0.8776596,0.8457447,0.8404255,0.8351064,0.8031915,0.7819149,0.7765957,0.7659574,0.7553191,0.75,0.7446809,0.7340426,0.7234043,0.6968085,0.6808511,0.643617,0.6170213,0.6117021,0.6010638,0.5585106,0.5478723,0.537234,0.5265957,0.5159574,0.4414894,0.4095745,0.393617,0.3829787,0.356383,0.3457447,0.3031915,0.287234,0.1595745,0.1170213,0.09042553,0.06914894,0.01595745,0
246,0.5,0.25,1,0.9946809,0.9893617,0.9787234,0.9574468,0.9468085,0.9255319,0.9095745,0.8989362,0.856383,0.8510638,0.8244681,0.7925532,0.7553191,0.7340426,0.7287234,0.7180851,0.6914894,0.6808511,0.6755319,0.6276596,0.6170213,0.5957447,0.5851064,0.5744681,0.5478723,0.537234,0.5319149,0.4893617,0.4787234,0.3670213,0.356383,0.3457447,0.3351064,0.3138298,0.2765957,0.2659574,0.2393617,0.2340426,0.1914894,0.1382979,0.1276596,0.1170213,0.106383,0.07446809,0.05851064,0.03723404,0
247,0.5,0.25,1,0.9893617,0.9787234,0.9680851,0.962766,0.9574468,0.9521277,0.9308511,0.9255319,0.9202128,0.9095745,0.9042553,0.893617,0.8882979,0.8776596,0.8670213,0.8617021,0.8510638,0.8297872,0.8244681,0.7659574,0.7234043,0.7021277,0.6808511,0.6702128,0.6542553,0.6117021,0.606383,0.5744681,0.5585106,0.5531915,0.5159574,0.4734043,0.462766,0.4255319,0.3085106,0.2978723,0.2925532,0.2819149,0.2712766,0.2180851,0.1968085,0.1542553,0.1276596,0.1117021,0.06914894,0.01595745,0
248,0.5,0.25,1,0.9893617,0.9787234,0.9521277,0.9361702,0.9255319,0.9042553,0.893617,0.8882979,0.8829787,0.8776596,0.8404255,0.8351064,0.787234,0.7819149,0.7712766,0.7659574,0.7606383,0.7553191,0.7446809,0.7393617,0.7287234,0.6861702,0.6648936,0.6595745,0.6329787,0.6223404,0.5904255,0.5691489,0.537234,0.5319149,0.462766,0.4574468,0.4308511,0.4202128,0.4042553,0.393617,0.3829787,0.3617021,0.3351064,0.2446809,0.2340426,0.1914894,0.1382979,0.106383,0.06914894,0.01595745,0
249,0.5,0.25,1,0.9840426,0.9734043,0.9680851,0.962766,0.9574468,0.9468085,0.9361702,0.9255319,0.9202128,0.9095745,0.8829787,0.8723404,0.8670213,0.8617021,0.8351064,0.8138298,0.8085106,0.8031915,0.787234,0.7712766,0.7340426,0.7234043,0.6542553,0.606383,0.5,0.4946809,0.4521277,0.4308511,0.4042553,0.3882979,0.3404255,0.2978723,0.287234,0.2765957,0.2712766,0.2553191,0.2446809,0.2340426,0.2180851,0.2074468,0.1542553,0.143617,0.106383,0.06382979,0.02659574,0.01595745,0
250,0.5,0.25,1,0.9893617,0.9787234,0.962766,0.9574468,0.9414894,0.9308511,0.9202128,0.9042553,0.8989362,0.8617021,0.8510638,0.8457447,0.8244681,0.8191489,0.8085106,0.8031915,0.7925532,0.7712766,0.7606383,0.7553191,0.7446809,0.7340426,0.6808511,0.6702128,0.6542553,0.5904255,0.5585106,0.5478723,0.537234,0.5053191,0.4946809,0.4574468,0.4468085,0.4042553,0.3776596,0.3670213,0.3404255,0.2446809,0.2287234,0.1914894,0.1542553,0.1223404,0.09042553,0.07978723,0.06382979,0.04255319,0
251,0.5,0.25,1,0.9893617,0.9787234,0.9734043,0.962766,0.9468085,0.9414894,0.9308511,0.9255319,0.9202128,0.893617,0.8882979,0.8457447,0.7978723,0.7819149,0.7287234,0.712766,0.7021277,0.6648936,0.6595745,0.6542553,0.6489362,0.6170213,0.606383,0.5957447,0.5797872,0.5531915,0.5159574,0.5106383,0.5,0.4840426,0.4787234,0.4734043,0.4468085,0.4361702,0.3829787,0.3617021,0.3510638,0.25,0.2074468,0.1648936,0.1223404,0.1117021,0.1010638,0.05319149,0.04255319,0.01595745,0
252,0.5,0.25,1,0.9787234,0.9734043,0.962766,0.9574468,0.9468085,0.9361702,0.9255319,0.9202128,0.9148936,0.8829787,0.8404255,0.8244681,0.8191489,0.8138298,0.787234,0.7819149,0.7712766,0.7446809,0.7340426,0.7074468,0.6808511,0.6702128,0.6595745,0.6382979,0.6329787,0.5691489,0.5531915,0.537234,0.4893617,0.3882979,0.3776596,0.3670213,0.356383,0.3457447,0.3191489,0.2659574,0.2553191,0.25,0.1968085,0.1595745,0.1382979,0.1276596,0.09042553,0.07978723,0.06914894,0.01595745,0
253,0.5,0.25,1,0.9840426,0.9734043,0.962766,0.9361702,0.9202128,0.9148936,0.9042553,0.893617,0.8723404,0.8297872,0.8244681,0.8031915,0.7978723,0.787234,0.7712766,0.7287234,0.7074468,0.7021277,0.6914894,0.6329787,0.5904255,0.5691489,0.5638298,0.5531915,0.5212766,0.5106383,0.5053191,0.5,0.4574468,0.4468085,0.4042553,0.3989362,0.3882979,0.3776596,0.3617021,0.3510638,0.3404255,0.3297872,0.3031915,0.2606383,0.2393617,0.1755319,0.1648936,0.1489362,0.1329787,0.0212766,0
254,0.5,0.25,1,0.9946809,0.9840426,0.9308511,0.9255319,0.9042553,0.8776596,0.8670213,0.8510638,0.8457447,0.8404255,0.8085106,0.7978723,0.787234,0.7765957,0.7659574,0.7393617,0.7287234,0.7021277,0.6968085,0.6755319,0.6542553,0.5797872,0.5425532,0.5265957,0.5106383,0.5053191,0.4734043,0.4255319,0.4095745,0.3989362,0.3723404,0.3617021,0.3510638,0.3404255,0.2925532,0.2446809,0.2021277,0.1968085,0.1861702,0.1808511,0.1382979,0.1223404,0.1010638,0.08510638,0.06382979,0.05319149,0
255,0.5,0.25,1,0.9840426,0.962766,0.9414894,0.9361702,0.9255319,0.9148936,0.9042553,0.8989362,0.8882979,0.8829787,0.8670213,0.856383,0.8457447,0.7819149,0.7765957,0.7659574,0.7340426,0.7287234,0.7021277,0.6968085,0.6755319,0.5904255,0.5797872,0.5212766,0.5106383,0.4680851,0.4574468,0.4308511,0.393617,0.3617021,0.3457447,0.3351064,0.3244681,0.3138298,0.3085106,0.2925532,0.2553191,0.2287234,0.1808511,0.1702128,0.1542553,0.1382979,0.08510638,0.04255319,0.0212766,0.0106383,0
256,0.5,0.25,1,0.9840426,0.9734043,0.962766,0.9521277,0.9468085,0.9414894,0.9361702,0.9308511,0.9255319,0.8882979,0.8829787,0.8670213,0.856383,0.8510638,0.8297872,0.8191489,0.7659574,0.7074468,0.6808511,0.6595745,0.6489362,0.6223404,0.6117021,0.5851064,0.5585106,0.5478723,0.5053191,0.4946809,0.4468085,0.393617,0.3670213,0.356383,0.3191489,0.3031915,0.2606383,0.212766,0.2021277,0.1914894,0.1808511,0.1702128,0.1276596,0.1170213,0.1010638,0.08510638,0.07446809,0.05319149,0
257,0.5,0.25,1,0.9946809,0.9893617,0.9787234,0.9680851,0.9574468,0.9468085,0.9361702,0.9308511,0.9095745,0.893617,0.8882979,0.8776596,0.8617021,0.856383,0.8297872,0.8244681,0.7925532,0.787234,0.7712766,0.7021277,0.6755319,0.6702128,0.6648936,0.6542553,0.643617,0.6170213,0.606383,0.5957447,0.5797872,0.5585106,0.5106383,0.5053191,0.462766,0.4521277,0.4414894,0.4255319,0.393617,0.287234,0.2765957,0.2234043,0.1808511,0.1276596,0.1170213,0.106383,0.06382979,0.05319149,0
258,0.5,0.25,1,0.9840426,0.9734043,0.9680851,0.962766,0.9148936,0.9042553,0.893617,0.8882979,0.856383,0.8510638,0.8404255,0.8138298,0.8085106,0.7978723,0.7925532,0.7765957,0.7287234,0.712766,0.7021277,0.6914894,0.6861702,0.6755319,0.6489362,0.606383,0.5904255,0.5744681,0.5319149,0.5212766,0.4893617,0.4734043,0.4574468,0.4308511,0.3882979,0.3829787,0.3723404,0.3617021,0.3244681,0.3191489,0.2712766,0.1755319,0.1542553,0.1010638,0.09042553,0.07446809,0.0212766,0.0106383,0
259,0.5,0.25,1,0.9893617,0.9840426,0.9680851,0.9521277,0.9414894,0.9308511,0.8989362,0.893617,0.8829787,0.8723404,0.8617021,0.8191489,0.8138298,0.8085106,0.7978723,0.7765957,0.7712766,0.7553191,0.75,0.7393617,0.6595745,0.6382979,0.5957447,0.5851064,0.5744681,0.5691489,0.5585106,0.537234,0.5159574,0.4680851,0.462766,0.4308511,0.3829787,0.3510638,0.3457447,0.3191489,0.3085106,0.2978723,0.2446809,0.2393617,0.2287234,0.2074468,0.1648936,0.1276596,0.03723404,0.0212766,0
260,0.5,0.25,1,0.9840426,0.9468085,0.9042553,0.8989362,0.8882979,0.8776596,0.856383,0.8510638,0.8457447,0.8297872,0.8244681,0.7925532,0.7819149,0.7765957,0.7659574,0.7606383,0.75,0.7393617,0.7287234,0.712766,0.7021277,0.6914894,0.6702128,0.6329787,0.6223404,0.6117021,0.5691489,0.5531915,0.5478723,0.5106383,0.5053191,0.4521277,0.4148936,0.3989362,0.3723404,0.3297872,0.287234,0.2765957,0.2659574,0.2021277,0.1914894,0.1702128,0.1542553,0.143617,0.106383,0.08510638,0
261,0.5,0.25,1,0.9946809,0.9893617,0.9787234,0.962766,0.9521277,0.9468085,0.9255319,0.9202128,0.9042553,0.8989362,0.8723404,0.8617021,0.8510638,0.8404255,0.8297872,0.7553191,0.7340426,0.7287234,0.6968085,0.6702128,0.6648936,0.6542553,0.6223404,0.5744681,0.5585106,0.5478723,0.537234,0.5106383,0.5053191,0.4680851,0.4308511,0.4202128,0.3776596,0.3670213,0.3457447,0.3244681,0.25,0.2446809,0.2234043,0.2021277,0.1702128,0.1223404,0.07978723,0.02659574,0.0212766,0.0106383,0
262,0.5,0.25,1,0.9680851,0.9414894,0.9308511,0.9095745,0.9042553,0.893617,0.8670213,0.8457447,0.8297872,0.8191489,0.8085106,0.8031915,0.7925532,0.787234,0.7712766,0.7659574,0.7393617,0.7340426,0.7287234,0.7234043,0.6702128,0.6595745,0.6542553,0.643617,0.6329787,0.6117021,0.5691489,0.5478723,0.5159574,0.5053191,0.4893617,0.4574468,0.3989362,0.3882979,0.3776596,0.3138298,0.3031915,0.2712766,0.1808511,0.1755319,0.1648936,0.1223404,0.05851064,0.04787234,0.03723404,0.0212766,0
263,0.5,0.25,1,0.9946809,0.9521277,0.9468085,0.9414894,0.9308511,0.9202128,0.893617,0.8829787,0.8670213,0.8351064,0.8031915,0.7925532,0.7659574,0.7234043,0.712766,0.7021277,0.6861702,0.6808511,0.6702128,0.6117021,0.6010638,0.5797872,0.5744681,0.5478723,0.5212766,0.5106383,0.4574468,0.4468085,0.4361702,0.3829787,0.3723404,0.3510638,0.3404255,0.3138298,0.3031915,0.287234,0.2553191,0.2021277,0.1914894,0.1755319,0.1542553,0.143617,0.09574468,0.06382979,0.05319149,0.04255319,0
264,0.5,0.25,1,0.9840426,0.9734043,0.9521277,0.9468085,0.9414894,0.9042553,0.8989362,0.8829787,0.8723404,0.8510638,0.8457447,0.8351064,0.8297872,0.7978723,0.7819149,0.7712766,0.7606383,0.7553191,0.7446809,0.6861702,0.6542553,0.6010638,0.5851064,0.5691489,0.5585106,0.5478723,0.5212766,0.5,0.4893617,0.4734043,0.4414894,0.4361702,0.4095745,0.3989362,0.3882979,0.3457447,0.3351064,0.3297872,0.3138298,0.3031915,0.2606383,0.2393617,0.2287234,0.1808511,0.1489362,0.1276596,0
265,0.5,0.25,1,0.9893617,0.9840426,0.9734043,0.9308511,0.9095745,0.9042553,0.8989362,0.8882979,0.8829787,0.8776596,0.8723404,0.8351064,0.8031915,0.7978723,0.7925532,0.7659574,0.7446809,0.7340426,0.712766,0.7021277,0.6755319,0.6382979,0.6276596,0.6223404,0.6117021,0.5744681,0.5265957,0.5159574,0.5106383,0.5,0.4574468,0.4468085,0.4414894,0.4202128,0.4042553,0.393617,0.3829787,0.3457447,0.2925532,0.2446809,0.2340426,0.1808511,0.1702128,0.1595745,0.143617,0.03723404,0
266,0.5,0.25,1,0.9840426,0.9787234,0.9255319,0.9148936,0.9042553,0.8989362,0.893617,0.8882979,0.8617021,0.856383,0.8404255,0.8297872,0.8191489,0.8031915,0.787234,0.7765957,0.7553191,0.7287234,0.7234043,0.712766,0.6648936,0.6489362,0.6382979,0.6117021,0.6010638,0.5425532,0.5159574,0.5053191,0.4574468,0.4468085,0.4361702,0.4148936,0.4042553,0.3670213,0.3297872,0.3244681,0.2765957,0.2659574,0.2553191,0.2446809,0.2340426,0.1914894,0.1861702,0.1542553,0.1329787,0.0106383,0
267,0.5,0.25,1,0.9893617,0.9734043,0.9521277,0.9095745,0.9042553,0.893617,0.8776596,0.8723404,0.8617021,0.856383,0.8404255,0.8297872,0.8191489,0.8138298,0.8031915,0.7978723,0.787234,0.7659574,0.7553191,0.7446809,0.7340426,0.7234043,0.7074468,0.6968085,0.6702128,0.6010638,0.5638298,0.5478723,0.537234,0.4840426,0.4414894,0.4308511,0.3882979,0.3776596,0.3297872,0.287234,0.2819149,0.212766,0.1968085,0.1861702,0.143617,0.1329787,0.1117021,0.07978723,0.06382979,0.0106383,0
268,0.5,0.25,1,0.9893617,0.9840426,0.9734043,0.9521277,0.9468085,0.9361702,0.9255319,0.9042553,0.893617,0.8882979,0.8776596,0.8670213,0.856383,0.8031915,0.7978723,0.7925532,0.787234,0.7765957,0.7659574,0.7393617,0.7287234,0.7180851,0.712766,0.6702128,0.6223404,0.6117021,0.6010638,0.5585106,0.5531915,0.5053191,0.5,0.4840426,0.4574468,0.4468085,0.4148936,0.3829787,0.3617021,0.3457447,0.2340426,0.2234043,0.2021277,0.1595745,0.1170213,0.1010638,0.06382979,0.05319149,0
269,0.5,0.25,1,0.9787234,0.9255319,0.9095745,0.8989362,0.8882979,0.8829787,0.8776596,0.8670213,0.856383,0.8510638,0.8297872,0.8191489,0.8138298,0.7978723,0.7712766,0.7659574,0.75,0.7393617,0.712766,0.7074468,0.6968085,0.6861702,0.6808511,0.6489362,0.6329787,0.6223404,0.6010638,0.5851064,0.5744681,0.5265957,0.4734043,0.462766,0.4255319,0.4148936,0.4042553,0.3829787,0.356383,0.3457447,0.3085106,0.2978723,0.287234,0.2446809,0.2340426,0.212766,0.06382979,0.0212766,0
270,0.5,0.25,1,0.9787234,0.9734043,0.9680851,0.9361702,0.9255319,0.9202128,0.9095745,0.893617,0.8829787,0.8723404,0.8670213,0.856383,0.8457447,0.8404255,0.8244681,0.8191489,0.8085106,0.7978723,0.7765957,0.7287234,0.6648936,0.6595745,0.6382979,0.6329787,0.606383,0.5691489,0.5425532,0.537234,0.5265957,0.4840426,0.4787234,0.4574468,0.4308511,0.3723404,0.3617021,0.3191489,0.287234,0.2765957,0.2659574,0.2180851,0.2074468,0.1914894,0.1010638,0.09042553,0.03723404,0.0212766,0
271,0.5,0.25,1,0.9574468,0.9414894,0.9308511,0.9095745,0.8989362,0.8723404,0.8670213,0.8617021,0.856383,0.8297872,0.8191489,0.8085106,0.7765957,0.7553191,0.75,0.7446809,0.7393617,0.7287234,0.7180851,0.6755319,0.6329787,0.5904255,0.5425532,0.5319149,0.5265957,0.5106383,0.5053191,0.4893617,0.4787234,0.4734043,0.462766,0.4095745,0.3829787,0.3776596,0.3670213,0.3510638,0.3138298,0.1914894,0.1808511,0.1702128,0.1542553,0.1117021,0.106383,0.05851064,0.04787234,0.0212766,0
272,0.5,0.25,1,0.9946809,0.9787234,0.9680851,0.962766,0.9414894,0.9308511,0.8882979,0.8776596,0.8723404,0.8617021,0.856383,0.8457447,0.8351064,0.8085106,0.8031915,0.75,0.7180851,0.7074468,0.6968085,0.6648936,0.6117021,0.6010638,0.5904255,0.5691489,0.5265957,0.4680851,0.462766,0.4521277,0.4148936,0.4095745,0.393617,0.3829787,0.3776596,0.356383,0.3457447,0.3191489,0.2393617,0.2021277,0.1702128,0.1382979,0.1223404,0.1117021,0.106383,0.09574468,0.05851064,0.01595745,0
